dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.448642,45,2,8,8,8,364,846,33.434231,62,252,5688.277344,13213.20801,1,2,64.091714,54.49543,3992.570603,104.827703,255,682957422,491652739,255,0.111353,0.059176,0.052177,46,106,0,0,1,1,2,1,1,2,0,0,0,2,1,0,-1
52.174473,45,8,8,20,14,1068,622,0.632493,254,252,155.631668,88.625717,4,1,2742.732895,3999.21475,366777.929,13462.176,255,2086310707,2796805455,255,0.273054,0.184681,0.088373,53,44,0,0,5,1,3,3,3,5,0,0,0,3,5,0,-1
1.054484,45,7,8,10,10,836,1218,18.018291,62,252,5712.746582,8322.553711,2,2,117.164889,108.421,8203.582935,171.266359,255,362485183,504675221,255,0.091694,0.041291,0.050403,84,122,0,0,2,1,1,1,1,2,0,0,0,22,2,0,-1
0.035831,45,8,8,30,42,2302,34406,1981.524342,31,29,496999.7813,7498981.0,5,15,1.225379,0.861878,70.584471,63.963061,255,4232620223,2090633499,255,0.000614,0.00049,0.000124,77,819,0,0,8,0,7,7,1,7,0,0,0,9,8,0,-1
1.127792,45,8,8,10,8,2530,354,15.073702,254,252,16151.91406,2198.987061,2,1,119.495889,149.588578,8190.60267,206.455594,255,2442503418,522624188,255,0.17523,0.080663,0.094567,253,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,-1
0.896963,45,8,8,34,12,29152,642,50.169293,254,252,252362.6875,5253.282227,14,3,26.503334,76.498094,2262.608446,113.188484,255,2988257513,388628897,255,0.109095,0.055476,0.053619,857,54,0,0,4,1,1,1,1,3,0,0,0,1,3,0,-1
0.030273,45,1,8,52,42,37492,3380,3072.044418,31,29,9717174.0,872064.25,18,8,0.5986,0.725854,40.489826,1.663151,255,3861761261,1713205324,255,0.000653,0.000507,0.000146,721,80,0,0,1,0,2,1,1,1,0,0,0,2,1,0,-1
0.001033,15,12,7,2,2,146,178,2904.162775,31,29,565343.6875,689254.625,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,4,0,3,2,1,3,0,0,0,4,1,0,-1
1.006814,45,7,8,14,18,1684,10168,30.790196,31,29,12427.32031,76312.00781,3,5,77.421233,59.195765,8769.891878,7682.622591,255,1726487634,3872874228,255,0.000597,0.000481,0.000116,120,565,1,3924,2,0,1,1,1,1,0,0,1,1,2,0,-1
0.313003,45,8,8,26,28,4160,2976,169.327449,31,29,102235.4375,73353.92969,7,7,12.50764,11.572074,797.458053,21.065807,255,1896677752,4045124477,255,0.000717,0.000554,0.000163,160,106,0,0,7,0,3,1,1,3,0,0,0,4,10,0,-1
0.462491,45,8,8,16,18,1272,2572,71.352739,31,29,20636.07617,42033.25,4,4,30.7978,27.172883,1832.437024,47.102996,255,3693007051,3697481673,255,0.000665,0.000543,0.000122,80,143,0,0,3,0,8,2,1,2,0,0,0,2,12,0,-1
0.004158,15,8,7,4,4,568,304,1683.501685,31,29,819624.8125,438672.4375,0,0,1.127,0.944333,1.588162,1.332661,0,0,0,0,0.0,0.0,0.0,142,76,0,0,4,0,3,1,1,3,0,0,0,3,5,0,-1
0.004742,45,8,8,18,18,4136,2456,7380.852294,31,29,6591312.0,3913960.5,7,7,0.261,0.248941,12.999844,0.331814,255,2582239541,436007519,255,0.000663,0.000507,0.000156,230,136,0,0,11,0,4,1,1,6,0,0,0,7,8,0,-1
0.511156,45,8,8,10,6,534,268,29.345248,254,252,7528.03418,3505.778809,2,1,52.359778,88.708797,2869.682328,132.448484,255,838718443,3018876096,255,0.114184,0.067605,0.046579,53,45,0,0,3,1,1,1,1,3,0,0,0,1,3,0,-1
