dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.00106,15,12,7,2,2,146,178,2830.188576,31,29,550943.375,671698.0625,0,0,0.01,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,3,1,1,2,0,0,0,1,3,0,-1
0.701122,45,8,8,12,10,1066,790,29.951992,254,252,11159.25684,8112.710938,3,2,61.923003,73.484781,4211.368462,129.142359,255,2369888838,327200275,255,0.101762,0.039753,0.062009,89,79,0,0,3,1,1,1,1,3,0,0,0,19,3,0,-1
0.548081,45,8,8,14,12,778,678,45.613697,254,252,10553.18457,9078.950195,4,4,42.160078,43.607727,2212.622146,59.564305,255,2748606418,3036767060,255,0.110488,0.049544,0.060944,56,57,0,0,10,1,1,1,1,9,0,0,0,1,9,0,-1
0.00399,45,7,8,8,10,1052,824,4260.651508,31,29,1846616.5,1487719.25,2,2,0.519143,0.379444,32.496619,0.692286,255,2134715856,4285317661,255,0.000734,0.000571,0.000163,132,82,1,83,1,0,2,1,1,1,0,0,1,12,1,0,-1
1.273026,45,8,7,6,2,978,86,5.498709,62,252,5121.655273,270.22229,2,1,254.6052,0.008,14589.86512,0.0,255,1735118885,2574762104,255,0.279856,0.198172,0.081684,163,43,0,0,4,3,1,1,1,2,0,0,0,2,2,0,-1
0.359181,45,8,8,28,30,4536,3080,158.694369,31,29,97421.64063,66328.67969,7,7,13.291556,12.368069,737.549242,18.654578,255,2310906543,164408103,255,0.000623,0.000504,0.000119,162,103,0,0,4,0,2,1,1,4,0,0,0,7,10,0,-1
0.00117,15,12,7,2,2,146,178,2564.102685,31,29,499145.3125,608547.0625,0,0,0.009,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,3,2,1,1,0,0,0,3,1,0,-1
0.001088,15,12,7,2,2,146,178,2757.352893,31,29,536764.6875,654411.75,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,9,0,5,1,1,1,0,0,0,1,12,0,-1
1.1e-05,15,8,4,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,34,2,12,12,1,34,0,0,0,12,34,0,-1
1.007887,45,7,8,14,18,1684,10168,30.757416,31,29,12414.08984,76230.76563,3,5,77.503305,59.258824,8765.648039,7674.385069,255,2832851965,688535604,255,0.000601,0.000484,0.000117,120,565,1,3924,1,0,4,1,1,2,0,0,1,7,1,0,-1
0.527737,45,8,8,10,6,534,268,28.423248,254,252,7291.510254,3395.630615,2,1,58.637444,95.237398,3199.876411,157.404031,255,1794753738,2528630804,255,0.103434,0.050632,0.052802,53,45,0,0,7,1,1,1,1,3,0,0,0,9,3,0,-1
0.001068,15,12,7,2,2,132,164,2808.988808,31,29,494382.0313,614232.25,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,2,0,2,2,1,3,0,0,0,11,3,0,-1
0.004905,45,8,8,18,18,3960,2456,7135.576142,31,29,6099898.0,3783894.0,7,7,0.269941,0.258235,13.970966,0.366384,255,2706057557,2713365514,255,0.000636,0.000512,0.000124,220,136,0,0,6,0,4,1,1,4,0,0,0,7,5,0,-1
1.373867,45,7,8,14,18,1684,10168,22.564047,31,29,9107.140625,55923.89844,3,5,105.655769,80.784882,9081.617242,7950.664319,255,2514987044,405419105,255,0.000651,0.000519,0.000132,120,565,1,3924,2,0,3,2,1,1,0,0,1,6,1,0,-1
0.014816,45,8,8,42,40,2646,23404,5467.062588,31,29,1394708.375,12321274.0,7,14,0.360975,0.367513,22.741497,0.619883,255,1893972223,4057682006,255,0.000611,0.00048,0.000131,63,585,0,0,5,0,5,1,1,3,0,0,0,3,4,0,-1
0.001029,15,12,7,2,2,130,162,2915.451794,31,29,505344.9688,629737.5625,0,0,0.009,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,6,1,1,3,0,0,0,2,3,0,-1
0.005448,45,8,8,22,14,1470,1728,6424.375871,31,29,2061674.0,2356828.25,5,4,0.2724,0.358154,17.497483,0.427164,255,3561667747,1416595859,255,0.000782,0.000639,0.000143,67,123,0,0,7,0,2,2,2,5,0,0,0,2,17,0,-1
0.091966,45,8,8,60,62,3598,48710,1315.703584,31,29,307852.9063,4168931.75,7,24,1.553475,1.49923,88.201903,86.370764,255,26615582,2176472491,255,0.000624,0.000503,0.000121,60,786,0,0,11,0,1,1,1,2,0,0,0,2,8,0,-1
0.637667,45,8,8,10,6,534,268,23.52325,254,252,6034.497559,2810.244141,2,1,64.392111,113.001,3406.713153,169.543,255,1119850149,1053033283,255,0.15095,0.072654,0.078296,53,45,0,0,5,1,1,1,1,4,0,0,0,2,4,0,-1
