dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.108652,45,8,8,60,62,3614,50036,1113.647209,31,29,261679.4844,3624710.0,7,24,1.867379,1.771525,100.2954,97.255226,255,4085085073,4081180214,255,0.000721,0.00058,0.000141,60,807,0,0,4,0,1,1,1,1,0,0,0,4,9,0,-1
0.019186,15,8,7,4,4,568,312,364.849381,31,29,177629.5313,97571.14844,0,0,1.331333,5.914667,1.875013,8.356823,0,0,0,0,0.0,0.0,0.0,142,78,0,0,9,0,5,1,1,4,0,0,0,2,13,0,-1
0.131949,45,8,8,40,42,2542,23508,613.873576,31,29,150300.5,1391386.125,7,14,3.464053,3.205195,333.682578,320.650004,255,3958519517,4012216900,255,0.000855,0.000533,0.000322,64,560,0,0,4,0,3,1,1,1,0,0,0,2,8,0,-1
0.732516,45,8,8,10,8,534,354,23.207684,254,252,5253.127441,3385.591553,2,1,65.574222,92.95957,4430.3991,124.289242,255,1291093333,1779550055,255,0.132778,0.081796,0.050982,53,44,0,0,3,1,3,2,1,3,0,0,0,2,4,0,-1
0.325292,45,8,8,28,28,4480,2976,169.078863,31,29,106243.0078,70582.74219,7,7,12.036333,12.02763,708.883661,18.800682,255,1578715877,1581743332,255,0.000683,0.000542,0.000141,160,106,0,0,3,0,1,1,1,1,0,0,0,2,5,0,-1
1.026611,45,5,8,232,232,24448,29244,450.998492,31,29,189696.0,226905.8125,54,67,4.444203,4.49736,347.770495,351.16516,255,1263772285,1264376553,255,0.001906,0.001061,0.000845,105,126,0,0,1,0,1,1,1,2,0,0,0,1,1,0,-1
0.588808,45,8,8,16,18,1540,1644,56.045434,31,29,19619.29883,21100.25586,4,4,39.233066,34.607352,2384.91369,68.305453,255,2779133199,2837572346,255,0.000603,0.000478,0.000125,96,91,0,0,12,0,15,10,1,5,0,0,0,12,15,0,-1
1.761867,45,5,8,70,64,12472,12924,75.488102,31,29,55822.60156,57770.53516,17,17,25.534304,27.953905,1540.873855,1615.023629,255,3369813059,3374318166,255,0.000779,0.00063,0.000149,178,202,0,0,1,0,1,1,1,1,0,0,0,4,1,0,-1
0.005571,45,8,8,22,24,2054,2478,8077.544699,31,29,2816011.5,3410518.75,6,6,0.248952,0.216348,15.147773,13.065711,255,2758744095,2759038353,255,0.000765,0.000585,0.00018,93,103,0,0,5,0,5,1,1,2,0,0,0,1,13,0,-1
0.039034,45,8,8,30,42,2302,34406,1818.927018,31,29,456217.625,6883639.5,5,15,1.334966,0.939098,75.413857,63.422928,255,3489199351,1343562772,255,0.000664,0.000528,0.000136,77,819,0,0,8,0,7,6,1,6,0,0,0,9,12,0,-1
0.102034,45,8,8,24,24,2062,2308,460.630759,31,29,155007.1563,173432.375,6,6,4.421565,4.408087,406.058327,406.893253,255,4092664125,1943430640,255,0.000781,0.00064,0.000141,86,96,0,0,9,0,1,1,1,2,0,0,0,3,4,0,-1
0.042891,45,8,8,78,80,4550,72810,3660.44163,31,29,837844.75,13410739.0,7,33,0.560224,0.536481,29.95077,29.432878,255,15233598,15487395,255,0.000948,0.000504,0.000444,58,910,0,0,4,0,2,1,1,2,0,0,0,2,4,0,-1
0.0,36,8,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.552,0.0,10.954502,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,-1
5e-06,15,8,4,2,0,78,0,200000.0051,254,0,62400000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,11,2,2,1,1,11,0,0,0,2,11,0,-1
0.053972,45,8,8,90,92,5174,83812,3353.590851,31,29,758467.375,12288002.0,7,39,0.609795,0.587022,35.609912,32.738051,255,1321706285,1321998315,255,0.00067,0.000545,0.000125,57,911,0,0,5,0,3,1,1,2,0,0,0,2,8,0,-1
0.005347,45,8,8,22,24,2054,2478,8415.934217,31,29,2933981.75,3553394.5,6,6,0.24975,0.21013,14.90655,12.25198,255,3777734198,3777979613,255,0.000623,0.000511,0.000112,93,103,0,0,2,0,3,1,1,1,0,0,0,1,3,0,-1
0.001091,15,12,7,2,2,146,178,2749.770747,31,29,535288.6875,652612.25,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,6,2,1,3,0,0,0,8,2,0,-1
0.438139,15,8,7,4,4,568,304,15.976665,31,29,7778.353516,4163.0625,0,0,132.337,101.947664,187.141469,144.168703,0,0,0,0,0.0,0.0,0.0,142,76,0,0,11,0,11,1,1,3,0,0,0,6,12,0,-1
0.006087,45,8,8,22,14,1470,1728,5749.958914,31,29,1845244.0,2109413.5,5,4,0.289857,0.290077,20.287562,0.373452,255,192033547,193239093,255,0.00236,0.002186,0.000174,67,123,0,0,4,0,3,1,1,1,0,0,0,3,2,0,-1
0.850921,45,8,8,10,8,2516,354,19.978353,254,252,21294.57422,2914.489258,2,1,87.279667,110.825711,5317.052831,156.997734,255,4004423545,53645081,255,0.121733,0.075138,0.046595,252,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,-1
1.228964,45,8,8,10,8,2530,354,13.83279,254,252,14822.24121,2017.959839,2,1,133.068889,157.96,7430.603693,262.740563,255,3205335199,2760870236,255,0.202659,0.123235,0.079424,253,44,0,0,2,1,2,1,1,1,0,0,0,1,2,0,-1
0.002645,15,8,7,4,4,528,304,2646.502952,31,29,1197731.625,689603.0625,0,0,0.737333,0.532667,1.034264,0.749062,0,0,0,0,0.0,0.0,0.0,132,76,0,0,7,0,5,1,1,4,0,0,0,3,8,0,-1
9e-06,15,8,4,2,0,78,0,111111.1072,254,0,34666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,13,2,3,3,1,7,0,0,0,3,9,0,-1
1.395354,45,7,8,60,16,68195,698,53.7498,254,252,384470.1563,3755.319336,27,1,23.112407,86.646602,2249.554785,114.091023,255,217785685,1077864035,255,0.196063,0.09565,0.100413,1137,44,1,0,1,1,1,1,1,1,0,0,1,1,1,0,-1
0.022828,45,8,8,16,18,1540,1644,1445.593152,31,29,506045.2188,544243.9375,4,4,1.500733,1.39825,92.085546,2.555974,255,4127143091,4128078485,255,0.000564,0.000453,0.000111,96,91,0,0,11,0,5,5,1,10,0,0,0,12,8,0,-1
0.019175,45,8,8,16,18,1540,1644,1720.99083,31,29,602451.0625,647927.0,4,4,1.2568,1.101353,77.266979,2.157428,255,3429200564,3433626925,255,0.000561,0.000449,0.000112,96,91,0,0,8,0,11,6,1,8,0,0,0,10,8,0,-1
0.022879,45,8,8,52,54,3182,39076,4589.361272,31,29,1091306.375,13410726.0,7,20,0.45106,0.42017,25.334972,24.038222,255,1526223507,1526542221,255,0.000719,0.000601,0.000118,61,724,0,0,4,0,3,1,1,1,0,0,0,2,7,0,-1
0.0,36,8,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.644,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,-1
0.005357,15,12,7,2,2,130,162,560.014929,31,29,97069.25781,120963.2266,0,0,0.001,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,2,2,1,1,0,0,0,8,2,0,-1
