dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.26566,45,2,8,8,12,424,8824,71.519991,31,29,11172.17578,243589.5625,1,4,37.879,24.101455,2461.78693,1957.995775,255,2296945699,608188242,255,0.000664,0.00054,0.000124,53,735,0,0,2,0,5,1,1,3,0,0,0,2,2,0,-1
0.008635,45,2,8,8,12,424,8824,2200.34734,31,29,343717.4063,7494151.5,1,4,1.177571,0.739636,84.215309,45.153307,255,770478289,2923532667,255,0.000635,0.000497,0.000138,53,735,0,0,3,0,8,1,1,5,0,0,0,7,3,0,-1
0.003011,45,2,8,6,8,320,1930,4317.502333,31,29,709398.875,4487545.5,1,2,0.5318,0.363,29.669199,0.595056,255,4110122772,4113784772,255,0.000645,0.000465,0.00018,53,241,0,0,2,0,2,1,1,3,0,0,0,1,2,0,-1
0.001139,15,12,7,2,2,146,178,2633.889242,31,29,512730.4375,625109.6875,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,5,5,0,-1
1.965001,45,2,8,14,6,8928,320,9.669206,31,29,33754.69141,1087.022339,4,1,151.153927,392.886594,12180.73036,482.544688,255,3194755291,1197370928,255,0.001474,0.000447,0.001027,638,53,0,0,2,0,2,1,1,3,0,0,0,4,2,0,-1
0.005659,45,8,8,22,24,1958,2308,7951.934947,31,29,2642163.0,3127054.25,6,6,0.251714,0.218652,15.397136,13.065099,255,3757697831,3758008931,255,0.00076,0.000621,0.000139,89,96,0,0,7,0,2,1,1,1,0,0,0,3,8,0,-1
1.1e-05,15,8,4,2,0,1490,0,90909.0902,254,0,541818176.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,745,0,0,0,63,2,9,9,1,63,0,0,0,9,62,0,-1
0.013043,45,8,8,16,18,1540,1644,2530.0927,31,29,885685.8125,952541.5625,4,4,0.848467,0.740294,59.093845,1.359863,255,1452270738,1458318977,255,0.000564,0.000452,0.000112,96,91,0,0,21,0,5,5,1,12,0,0,0,11,12,0,-1
7e-06,15,8,4,2,0,78,0,142857.1409,254,0,44571428.0,0.0,0,0,0.007,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,11,2,1,1,1,4,0,0,0,3,4,0,-1
1.053898,45,7,8,14,18,1684,10168,29.414612,31,29,11872.11719,72902.69531,3,5,81.041077,61.938471,8774.799648,7683.80499,255,3830400408,3835795481,255,0.00108,0.000941,0.000139,120,565,1,3924,1,0,2,1,1,1,0,0,1,1,2,0,-1
0.634867,45,11,8,52,54,2934,3742,165.388968,31,29,36265.86328,46283.70703,11,15,12.425863,11.967905,1516.089082,51.246355,255,3311822674,3312844192,255,0.000703,0.000563,0.00014,56,69,0,0,1,0,2,1,1,3,1,1,0,3,1,0,-1
0.111316,45,8,8,72,74,4238,63516,1302.597975,31,29,300406.0313,4503072.0,7,30,1.5852,1.517288,90.87476,88.499722,255,3988547190,1839252814,255,0.000661,0.000545,0.000116,59,858,0,0,11,0,1,1,1,1,0,0,0,6,4,0,-1
0.643677,45,8,7,6,2,978,86,10.87502,62,252,10129.30371,534.429565,2,1,128.7354,0.008,6627.947529,0.0,255,3831937657,1370685234,255,0.40114,0.161029,0.240111,163,43,0,0,3,3,1,1,1,2,0,0,0,2,2,0,-1
0.224318,45,2,8,8,12,424,8824,84.701184,31,29,13231.2168,288483.3125,1,4,32.00043,20.339727,2187.962891,1740.728522,255,4220377507,2173075736,255,0.000729,0.000577,0.000152,53,735,0,0,5,0,2,1,1,4,0,0,0,3,2,0,-1
1.886733,45,1,8,54,42,37808,3380,50.351585,31,29,157342.875,13992.44043,19,8,35.592357,46.006391,3401.368924,113.789422,255,279135307,322136484,255,0.000591,0.000468,0.000123,700,80,0,0,1,0,6,1,1,1,0,0,0,5,1,0,-1
0.76493,45,8,8,10,6,534,268,19.609637,254,252,5030.525391,2342.697998,2,1,84.893444,135.055797,4479.223674,215.941812,255,1939643195,1111355062,255,0.210594,0.089643,0.120951,53,45,0,0,4,1,1,1,1,3,0,0,0,2,3,0,-1
1.029072,45,8,8,14,14,796,764,26.23723,254,252,5752.755859,5519.535645,4,4,79.133921,72.266383,4435.684928,108.66918,255,2180480307,2370344525,255,0.156074,0.0896,0.066474,57,55,0,0,8,1,2,2,1,6,0,0,0,3,6,0,-1
8e-06,15,8,4,2,0,104,0,125000.0003,254,0,52000000.0,0.0,0,0,0.008,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,7,2,2,2,2,6,0,0,0,2,6,0,-1
0.830155,45,8,8,10,8,534,354,20.478103,254,252,4635.278809,2987.393799,2,1,92.239444,106.201711,5390.738661,163.485688,255,2348927130,3103654395,255,0.140932,0.085926,0.055006,53,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,-1
0.047113,45,8,8,68,70,4014,59460,2907.902194,31,29,671576.8125,9952412.0,7,28,0.719815,0.6855,42.867876,41.569803,255,808936779,2973010475,255,0.00064,0.000495,0.000145,59,849,0,0,9,0,3,1,1,1,0,0,0,4,3,0,-1
0.337803,45,8,8,28,30,4480,3080,168.737397,31,29,102308.1484,70526.3125,7,7,12.499592,11.630379,714.26427,18.303732,255,242604988,2391323906,255,0.000641,0.000519,0.000122,160,103,0,0,10,0,3,1,1,4,0,0,0,4,7,0,-1
1.452281,45,11,8,52,54,2934,3742,72.300058,31,29,15853.68164,20232.99805,11,15,28.470059,27.391133,2142.222888,65.880047,255,2919453844,862740612,255,0.000688,0.000545,0.000143,56,69,0,0,1,0,3,1,1,4,1,1,0,5,1,0,-1
