dur,proto,service,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,labels
0.019675,45,8,8,40,42,2558,23162,4116.899694,31,29,1014485.375,9193799.0,7,14,0.495462,0.466463,34.507989,31.367766,255,1335237857,1354739113,255,0.000676,0.000547,0.000129,64,551,0,0,6,0,2,1,1,1,0,0,0,4,4,0,-1
0.057862,45,8,8,22,14,1470,1728,604.887505,31,29,194117.0469,221907.2969,5,4,2.755333,4.393923,361.932511,14.153499,255,3561275571,3561599887,255,0.000765,0.000614,0.000151,67,123,0,0,1,0,2,1,1,1,0,0,0,1,3,0,-1
0.018235,45,8,8,16,18,1540,1644,1809.706623,31,29,633507.0,681327.125,4,4,1.195133,1.110937,72.58518,2.285144,255,2555207808,2559155768,255,0.000571,0.000457,0.000114,96,91,0,0,7,0,5,3,1,3,0,0,0,4,6,0,-1
1.020317,45,8,8,10,8,2516,354,16.661489,254,252,17759.1875,2430.617188,2,1,107.285,124.86243,5872.633453,220.686375,255,195938729,1205022817,255,0.269758,0.146277,0.123481,252,44,0,0,5,1,2,2,2,4,0,0,0,2,4,0,-1
0.001043,15,12,7,2,2,146,178,2876.318242,31,29,559923.3125,682646.1875,0,0,0.009,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,1,1,1,3,0,0,0,3,3,0,-1
0.018042,45,8,8,16,18,1540,1644,1829.065513,31,29,640283.8125,688615.4375,4,4,1.182533,1.034882,71.310847,2.111685,255,132267927,2282109992,255,0.000577,0.000446,0.000131,96,91,0,0,15,0,8,6,1,6,0,0,0,10,7,0,-1
1.012055,45,7,8,12,18,1580,10168,28.654568,31,29,11453.92285,75916.82031,3,5,91.972908,59.501354,9538.048963,7681.564674,255,2643990545,2649247220,255,0.000644,0.000529,0.000115,132,565,1,3924,2,0,3,1,1,4,0,0,1,1,1,0,-1
0.917667,45,8,8,232,438,13350,548216,729.022642,31,29,115885.1797,4768309.5,21,197,4.023443,2.098741,1187.162732,857.247039,255,1295503989,1300225680,255,0.000644,0.000512,0.000132,58,1252,0,0,10,0,3,2,1,9,0,0,0,6,8,0,-1
0.833931,45,7,8,10,10,848,1202,22.783659,62,252,7329.143066,10379.75488,2,2,89.308889,78.325781,5526.505518,139.007547,255,308900449,2834885476,255,0.197143,0.128991,0.068152,85,120,1,134,2,1,1,1,1,2,0,0,1,9,2,0,-1
0.0,36,8,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.7,0.0,10.954515,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,-1
2.450703,45,8,8,14,8,8834,354,8.56897,254,252,26777.62305,1011.95459,4,1,185.02969,332.878438,14664.69375,495.035031,255,3214482473,2998131489,255,0.226915,0.120545,0.10637,631,44,0,0,1,1,1,1,1,1,0,0,0,2,2,0,-1
0.0,36,8,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,-1
0.210193,45,8,8,10,6,508,268,71.362988,254,252,17431.59961,8525.498047,2,1,22.077,34.117199,1139.832202,54.28052,255,650185013,552768097,255,0.064649,0.039606,0.025043,51,45,0,0,14,1,2,2,1,13,0,0,0,2,13,0,-1
1.213902,45,5,8,108,114,9504,12298,182.057531,31,29,62054.43359,80342.5625,26,31,11.341972,10.737256,682.187513,664.896789,255,3805139425,1660062228,255,0.000711,0.000583,0.000128,88,108,0,0,1,0,2,1,1,2,0,0,0,2,2,0,-1
